house_number,street,city,postal_code,state,country,completeness,avg_similarity,overall_similarity,geo_similarity,within_threshold,label
1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.97,0.95,0.9,1.0,1
1.0,0.95,1.0,1.0,0.9,0.8,1.0,0.94,0.92,0.85,1.0,1
0.9,0.9,0.95,1.0,0.0,0.0,0.67,0.94,0.88,0.8,1.0,1
0.3,0.4,0.2,0.1,0.0,0.0,0.67,0.25,0.2,0.1,0.0,0
0.2,0.3,0.1,0.0,0.0,0.0,0.5,0.15,0.1,0.0,0.0,0
0.8,0.85,0.9,0.95,0.8,0.7,1.0,0.83,0.8,0.7,1.0,1
0.1,0.2,0.0,0.0,0.0,0.0,0.33,0.1,0.05,0.0,0.0,0
0.95,0.9,0.85,0.9,0.7,0.6,1.0,0.82,0.78,0.6,1.0,1
1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.98,0.96,0.95,1.0,1
0.85,0.8,0.85,0.9,0.5,0.5,0.83,0.75,0.72,0.55,1.0,1
0.0,0.1,0.0,0.0,0.0,0.0,0.17,0.05,0.02,0.0,0.0,0
0.7,0.75,0.8,0.85,0.6,0.6,1.0,0.72,0.7,0.4,0.0,0
0.98,0.97,1.0,1.0,0.95,0.9,1.0,0.96,0.94,0.88,1.0,1
0.4,0.5,0.3,0.2,0.1,0.0,0.67,0.3,0.25,0.15,0.0,0
0.92,0.88,0.95,0.98,0.85,0.75,1.0,0.89,0.86,0.75,1.0,1
0.15,0.25,0.1,0.05,0.0,0.0,0.5,0.12,0.08,0.0,0.0,0
0.88,0.92,0.9,0.95,0.0,0.8,0.83,0.88,0.85,0.7,1.0,1
0.55,0.6,0.5,0.4,0.3,0.2,0.83,0.45,0.4,0.2,0.0,0
1.0,0.85,1.0,1.0,1.0,0.7,1.0,0.91,0.89,0.8,1.0,1
0.05,0.1,0.05,0.0,0.0,0.0,0.33,0.06,0.03,0.0,0.0,0
